"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"PI15",508.420772252207,-1.1573210778556,0.120061471794117,-9.6385323122833,5.49682432255423e-22,4.22410221692071e-21,340.437262669131,-1.0160004029665,0.134258493113227,-7.56462365489491,3.88989149838091e-14,6.34403631966628e-13
"CRISPLD1",143.67458866222,1.15920080589621,0.161097429226318,7.19074427664123,6.44390751303335e-13,2.91237893705413e-12,139.786989805773,0.411925942451792,0.156279993197486,2.63570737576077,0.00839621036219597,0.0214345768878544
"CRISP1",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"DEFB113",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"DEFB110",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"TFAP2D",0.0883142964598799,0.0435958862970989,0.426822222782767,0.102136939366851,0.918647980941845,NA,0.0991572866318893,-0.0328131781521458,0.15598975903094,-0.210358381132151,0.833387972914563,NA
"TFAP2B",2291.12488910477,0.699174714116626,0.133045289807702,5.25510886616021,1.47936936250926e-07,4.44122135766124e-07,2145.42773028527,0.363241024435689,0.143053049565547,2.53916422789405,0.0111117649491963,0.0273514752929141
"PKHD1",15412.4042802289,-0.0552985568145946,0.0917718051583088,-0.602565082792298,0.546798054809023,0.613847122339618,11749.8688968733,0.207277928447962,0.0818116579944499,2.53359603199554,0.0112898800488994,0.0277261547063582
"MIR206",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"MIR133B",0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"IL17A",14.1783752354143,-0.568403040496793,0.485828515161255,-2.39589765595619,NA,NA,1.03074459181907,-0.176420117347762,0.192386311903741,-0.945337470771565,0.34448661419666,NA
"IL17F",36.7352050651524,1.4595795925575,0.563011344862223,2.58753720112195,0.00966647571062605,0.0165019948706641,30.17010995434,1.64239282355662,0.292699496588358,5.52543912994789,3.28662514020558e-08,2.5030456098273e-07
"MCM3",525.212445726183,-2.04853533732586,0.117753719172483,-17.3897377576313,9.86847309415153e-68,4.46271123323994e-66,335.387984313841,-1.55408378836341,0.190234712205737,-8.16106731908917,3.32077015265431e-16,6.69874872785771e-15
